                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.0395,                0.99631,                 1.0277,                0.76063,                0.56419,                0.64993,                0.40829,                 1.7724,                 1.3763,                 1.4121,             0.00041675,             0.00041675,             0.00041675
                    104,                 1.0537,                0.89181,                 1.0081,                 0.7855,                 0.6328,                0.65761,                0.41291,                 1.7494,                 1.3961,                  1.392,              0.0004085,              0.0004085,              0.0004085
                    105,                0.99547,                0.88708,                 1.0046,                0.75425,                0.60316,                0.64842,                0.41166,                 1.7204,                 1.4374,                 1.3774,             0.00040025,             0.00040025,             0.00040025
                    106,                 1.0369,                0.83775,                0.99168,                0.90056,                  0.559,                0.65614,                0.41643,                 1.6998,                 1.4791,                 1.3709,               0.000392,               0.000392,               0.000392
                    107,                0.95365,                0.79958,                0.99287,                0.89545,                0.55619,                0.65373,                0.42134,                 1.6985,                 1.4763,                 1.3836,             0.00038375,             0.00038375,             0.00038375
                    108,                0.95745,                0.82296,                0.98355,                 0.9023,                0.56244,                0.66051,                0.42971,                 1.7049,                 1.4731,                 1.3986,              0.0003755,              0.0003755,              0.0003755
                    109,                  1.023,                0.83696,                 1.0162,                0.82206,                0.58505,                0.66381,                 0.4227,                 1.7092,                 1.4362,                 1.4137,             0.00036725,             0.00036725,             0.00036725
                    110,                0.99164,                0.92172,                 1.0031,                0.80873,                0.58836,                0.67302,                0.42175,                 1.6917,                 1.4272,                 1.4083,               0.000359,               0.000359,               0.000359
                    111,                 1.0008,                 1.0418,                 1.0456,                 0.7724,                0.60614,                0.66383,                0.40705,                 1.6974,                 1.3815,                 1.4161,             0.00035075,             0.00035075,             0.00035075
                    112,                  1.057,                 1.3371,                 1.0883,                0.74123,                  0.619,                0.67104,                0.41959,                 1.7007,                  1.361,                  1.426,              0.0003425,              0.0003425,              0.0003425
                    113,                0.94431,                0.80267,                0.98578,                0.71874,                  0.678,                0.68003,                0.43282,                 1.7154,                 1.3579,                 1.4321,             0.00033425,             0.00033425,             0.00033425
                    114,                 1.0601,                0.98815,                 1.0628,                0.71875,                0.68857,                0.68748,                0.43908,                  1.715,                 1.3609,                 1.4325,               0.000326,               0.000326,               0.000326
                    115,                  1.013,                0.87104,                 1.0114,                 0.7477,                0.62826,                 0.6567,                0.41876,                 1.7246,                 1.3767,                 1.4392,             0.00031775,             0.00031775,             0.00031775
                    116,                 1.0014,                0.93625,                 1.0073,                 0.7693,                0.60908,                0.65486,                0.42195,                 1.7284,                  1.371,                 1.4373,              0.0003095,              0.0003095,              0.0003095
                    117,                 1.0483,                0.83327,                 1.0061,                0.78686,                0.59733,                0.65999,                0.43259,                 1.7166,                 1.3701,                 1.4287,             0.00030125,             0.00030125,             0.00030125
                    118,                 1.0211,                0.95705,                 1.0077,                0.77356,                0.58999,                0.66918,                0.43892,                  1.715,                 1.3621,                  1.428,               0.000293,               0.000293,               0.000293
                    119,                0.96577,                0.87597,                 1.0217,                0.78159,                0.58264,                0.66471,                0.43151,                 1.7284,                 1.3611,                 1.4352,             0.00028475,             0.00028475,             0.00028475
                    120,                0.95873,                0.80331,                0.97291,                0.70299,                0.62343,                0.66951,                0.43936,                 1.7333,                 1.3727,                 1.4366,              0.0002765,              0.0002765,              0.0002765
                    121,                0.97324,                0.80464,                 1.0143,                0.72333,                0.58995,                0.66068,                0.42793,                 1.7389,                  1.398,                 1.4311,             0.00026825,             0.00026825,             0.00026825
                    122,                0.95159,                0.81252,                0.98967,                0.63666,                0.64196,                0.65803,                0.43458,                 1.7458,                 1.4272,                 1.4332,                0.00026,                0.00026,                0.00026
                    123,                0.98139,                0.80624,                 1.0056,                0.69775,                0.66391,                 0.6605,                0.44105,                 1.7548,                 1.4443,                 1.4396,             0.00025175,             0.00025175,             0.00025175
                    124,                 1.0143,                0.91058,                 1.0144,                0.71224,                0.66385,                0.66552,                0.44052,                  1.769,                 1.4425,                 1.4425,              0.0002435,              0.0002435,              0.0002435
                    125,                 1.0086,                0.79441,                 1.0057,                0.71565,                0.66127,                0.66111,                0.43973,                 1.7696,                 1.4438,                 1.4376,             0.00023525,             0.00023525,             0.00023525
